"地段位置或門牌","交易年月","總價","單價","總面積","型態","屋齡","樓別.樓高","交易標的","建物現況格局","車位總價","主要用途","lon","lat"
"臺北市松山區健康路１６６號四樓","111/04/24",3006,74.7,40.27,"住宅大樓(11層含以上有電梯)",44,"四層/十三層","房地(土地+建物)","3房2廳2衛","0","住家用",121.5582461,25.0536002
"臺北市松山區三民路１８號八樓","111/04/24",4188,92.3,45.38,"住宅大樓(11層含以上有電梯)",8,"八層/十一層","房地(土地+建物)+車位","3房2廳2衛","220","住家用",121.5639624,25.0526141
"臺北市松山區健康路３２５巷５弄１號二樓","111/04/24",5338,67.7,78.8,"住宅大樓(11層含以上有電梯)",22,"二層/十二層","房地(土地+建物)+車位","3房2廳2衛","600","住家用",121.5670744,25.0548196
"臺北市松山區南京東路五段２３巷１８號五樓","111/04/23",2268,63.7,35.63,"公寓(5樓含以下無電梯)",43,"五層/五層","房地(土地+建物)","4房0廳4衛","0","住家用",121.5581897,25.0532585
"臺北市松山區松河街１６８號十二樓之１","111/04/23",6984,81.7,85.52,"住宅大樓(11層含以上有電梯)",2,"十二層/二十四層","房地(土地+建物)+車位","4房2廳4衛","0","住家用",121.5765559,25.0509625
"臺北市松山區延壽街３３０巷１８號二樓之２","111/04/23",5688,89.1,63.87,"住宅大樓(11層含以上有電梯)",13,"二層/十一層","房地(土地+建物)","4房2廳2衛","0","住家用",121.5602171,25.055164
"臺北市松山區復興北路１５號十二樓之１２","111/04/23",2350,69.8,33.68,"住宅大樓(11層含以上有電梯)",44,"十二層/十五層","房地(土地+建物)","1房1廳2衛","0","住家用",121.544233,25.04894
"臺北市松山區民生東路五段２７之１號三樓","111/04/22",1910,106.3,17.97,"華廈(10層含以下有電梯)",5,"三層/七層","房地(土地+建物)","1房1廳1衛","0","住家用",121.5563347,25.0585926
"臺北市松山區八德路三段２２５號八樓之４","111/04/22",1138,91.2,12.48,"住宅大樓(11層含以上有電梯)",33,"八層/十二層","房地(土地+建物)","1房1廳1衛","0","住家用",121.557021,25.048255
"臺北市松山區光復北路１５５巷１３號五樓","111/04/20",2276,77.5,29.36,"公寓(5樓含以下無電梯)",44,"五層/五層","房地(土地+建物)","3房2廳2衛","0","住家用",121.5563089,25.0555243
"臺北市松山區健康路１７０號八樓","111/04/20",3150,80.6,39.06,"住宅大樓(11層含以上有電梯)",44,"八層/十三層","房地(土地+建物)","3房2廳2衛","0","住家用",121.558227,25.0533209
"臺北市松山區三民路１０７巷２５號三樓","111/04/19",2200,81,27.15,"公寓(5樓含以下無電梯)",50,"三層/四層","房地(土地+建物)","3房2廳1衛","0","住家用",121.5622007,25.0575766
"臺北市松山區民生東路五段２０６號十四樓","111/04/19",4300,81.9,57.58,"住宅大樓(11層含以上有電梯)",33,"十四層/二十層","房地(土地+建物)+車位","4房2廳2衛","350","住家用",121.5647253,25.0587146
"臺北市松山區延壽街３３０巷１８號三樓之１","111/04/18",5500,86.1,63.87,"住宅大樓(11層含以上有電梯)",13,"三層/十一層","房地(土地+建物)+車位","4房2廳2衛","0","住家用",121.5602171,25.055164
"臺北市松山區敦化北路１９９巷１４之１號三樓","111/04/18",5858,88.2,66.39,"華廈(10層含以下有電梯)",28,"三層/七層","房地(土地+建物)","4房2廳2衛","0","住家用",121.5508283,25.0555404
"臺北市松山區復興北路３１３巷４０號四樓","111/04/18",8360,86.1,97.06,"住宅大樓(11層含以上有電梯)",14,"四層/十一層","房地(土地+建物)+車位","3房1廳2衛","0","住家用",121.5467871,25.0588161
"臺北市松山區光復北路２３４號二樓","111/04/17",1500,52.9,28.37,"公寓(5樓含以下無電梯)",47,"二層,陽台/四層","房地(土地+建物)","3房2廳2衛","0","住家用",121.5554266,25.0564064
"臺北市松山區健康路１８３之１號十二樓","111/04/17",2570,82.9,31,"住宅大樓(11層含以上有電梯)",29,"十二層/十二層","房地(土地+建物)","3房2廳2衛","0","住家用",121.561321,25.0543769
"臺北市松山區南京東路三段３０３巷１４弄６之１號二樓","111/04/16",2115,81.4,26,"華廈(10層含以下有電梯)",36,"二層/七層","房地(土地+建物)","1房2廳1衛","0","住家用",121.54736,25.053277
"臺北市松山區延壽街３７４號四樓","111/04/16",3007,73.2,41.1,"華廈(10層含以下有電梯)",44,"四層/七層","房地(土地+建物)","3房2廳2衛","0","住家用",121.5581957,25.056357
"臺北市松山區長春路３５５號六樓","111/04/16",4388,91.5,47.94,"住宅大樓(11層含以上有電梯)",35,"六層/十四層","房地(土地+建物)","2房2廳2衛","0","住家用",121.5456688,25.0546469
"臺北市松山區南京東路三段３３５巷２３號六樓之２４","111/04/15",800,91.6,8.73,"華廈(10層含以下有電梯)",37,"六層/七層","房地(土地+建物)","1房0廳1衛","0","住家用",121.5475732,25.0534652
"臺北市松山區三民路３５巷６號六樓之３","111/04/15",5200,75.2,69.13,"住宅大樓(11層含以上有電梯)",18,"六層/十四層","房地(土地+建物)+車位","4房2廳2衛","0","住家用",121.563215,25.0559196
